Dining Hall,Day,Breakfast,Lunch,Dinner,
The Commons Dining Center,Monday+A2,7:00AM-10:00AM,11:00AM-3:00PM,5:00PM-9:00PM,
The Commons Dining Center,Tuesday,7:00AM-10:00AM,11:00AM-3:00PM,5:00PM-9:00PM,
The Commons Dining Center,Wednesday,7:00AM-10:00AM,11:00AM-3:00PM,5:00PM-9:00PM,
The Commons Dining Center,Thursday,7:00AM-10:00AM,11:00AM-3:00PM,5:00PM-9:00PM,
The Commons Dining Center,Friday,7:00AM-10:00AM,11:00AM-3:00PM,5:00PM-9:00PM,
The Commons Dining Center,Saturday,8:00AM-11:00AM,12:00AM-4:00PM,5:00PM-9:00PM,
The Commons Dining Center,Sunday,8:00AM-11:00AM,12:00AM-4:00PM,5:00PM-9:00PM,
E. Bronson Ingram Dining Center,Monday,CLOSED,11:00AM-3:00PM,5:00PM-9:00PM,
E. Bronson Ingram Dining Center,Tuesday,CLOSED,11:00AM-3:00PM,5:00PM-9:00PM,
E. Bronson Ingram Dining Center,Wednesday,CLOSED,11:00AM-3:00PM,5:00PM-9:00PM,
E. Bronson Ingram Dining Center,Thursday,CLOSED,11:00AM-3:00PM,5:00PM-9:00PM,
E. Bronson Ingram Dining Center,Friday,CLOSED,11:00AM-3:00PM,CLOSED,
E. Bronson Ingram Dining Center,Saturday,CLOSED,CLOSED,CLOSED,
E. Bronson Ingram Dining Center,Sunday,8:00AM-11:00AM,12:00AM-4:00PM,5:00PM-9:00PM,
Rothschild Dining Center - Contains Peanuts & Treenuts,Monday,CLOSED,11:00AM-3:00PM,5:00PM-9:00PM,
Rothschild Dining Center - Contains Peanuts & Treenuts,Tuesday,CLOSED,11:00AM-3:00PM,5:00PM-9:00PM,
Rothschild Dining Center - Contains Peanuts & Treenuts,Wednesday,CLOSED,11:00AM-3:00PM,5:00PM-9:00PM,
Rothschild Dining Center - Contains Peanuts & Treenuts,Thursday,CLOSED,11:00AM-3:00PM,5:00PM-9:00PM,
Rothschild Dining Center - Contains Peanuts & Treenuts,Friday,CLOSED,11:00AM-3:00PM,CLOSED,
Rothschild Dining Center - Contains Peanuts & Treenuts,Saturday,CLOSED,CLOSED,CLOSED,
Rothschild Dining Center - Contains Peanuts & Treenuts,Sunday,8:00AM-11:00AM,12:00AM-4:00PM,5:00PM-9:00PM,
Zeppos Dining,Monday,CLOSED,11:00AM-3:00PM,5:00PM-9:00PM,
Zeppos Dining,Tuesday,CLOSED,11:00AM-3:00PM,5:00PM-9:00PM,
Zeppos Dining,Wednesday,CLOSED,11:00AM-3:00PM,5:00PM-9:00PM,
Zeppos Dining,Thursday,CLOSED,11:00AM-3:00PM,5:00PM-9:00PM,
Zeppos Dining,Friday,CLOSED,11:00AM-3:00PM,CLOSED,
Zeppos Dining,Saturday,CLOSED,CLOSED,CLOSED,
Zeppos Dining,Sunday,8:00AM-11:00AM,12:00AM-4:00PM,5:00PM-9:00PM,
Rand Dining Center,Monday,7:00AM-10:00AM,11:00AM-3:00PM,CLOSED,
Rand Dining Center,Tuesday,7:00AM-10:00AM,11:00AM-3:00PM,CLOSED,
Rand Dining Center,Wednesday,7:00AM-10:00AM,11:00AM-3:00PM,CLOSED,
Rand Dining Center,Thursday,7:00AM-10:00AM,11:00AM-3:00PM,CLOSED,
Rand Dining Center,Friday,7:00AM-10:00AM,11:00AM-3:00PM,4:00PM-8:00PM,
Rand Dining Center,Saturday,8:00AM-8:00PM,8:00AM-8:00PM,8:00AM-8:00PM,
Rand Dining Center,Sunday,CLOSED,CLOSED,CLOSED,
Commodore Pizza Kitchen,Monday,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,
Commodore Pizza Kitchen,Tuesday,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,
Commodore Pizza Kitchen,Wednesday,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,
Commodore Pizza Kitchen,Thursday,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,
Commodore Pizza Kitchen,Friday,11:00AM-2:00PM,11:00AM-2:00PM,CLOSED,
Commodore Pizza Kitchen,Saturday,CLOSED,CLOSED,CLOSED,
Commodore Pizza Kitchen,Sunday,CLOSED,CLOSED,3:00PM-8:00PM,
The Pub at Overcup Oak,Monday,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,
The Pub at Overcup Oak,Tuesday,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,
The Pub at Overcup Oak,Wednesday,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,
The Pub at Overcup Oak,Thursday,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,
The Pub at Overcup Oak,Friday,11:00AM-3:00PM,11:00AM-3:00PM,11:00AM-3:00PM,
The Pub at Overcup Oak,Saturday,CLOSED,CLOSED,CLOSED,
The Pub at Overcup Oak,Sunday,CLOSED,11:00AM-8:00PM,11:00AM-8:00PM,
The Kitchen at Kissam,Monday,7:00AM-10:00AM,11:00AM-3:00PM,5:00PM-8:00PM,
The Kitchen at Kissam,Tuesday,7:00AM-10:00AM,11:00AM-3:00PM,5:00PM-8:00PM,
The Kitchen at Kissam,Wednesday,7:00AM-10:00AM,11:00AM-3:00PM,5:00PM-8:00PM,
The Kitchen at Kissam,Thursday,7:00AM-10:00AM,11:00AM-3:00PM,5:00PM-8:00PM,
The Kitchen at Kissam,Friday,7:00AM-10:00AM,11:00AM-3:00PM,CLOSED,
The Kitchen at Kissam,Saturday,CLOSED,CLOSED,CLOSED,
The Kitchen at Kissam,Sunday,8:00AM-11:00AM,12:00AM-4:00PM,5:00PM-8:00PM,
Vandy Blenz,Monday,8:00AM-5:00PM,8:00AM-5:00PM,CLOSED,
Vandy Blenz,Tuesday,8:00AM-5:00PM,8:00AM-5:00PM,CLOSED,
Vandy Blenz,Wednesday,8:00AM-5:00PM,8:00AM-5:00PM,CLOSED,
Vandy Blenz,Thursday,8:00AM-5:00PM,8:00AM-5:00PM,CLOSED,
Vandy Blenz,Friday,8:00AM-5:00PM,8:00AM-5:00PM,CLOSED,
Vandy Blenz,Saturday,9:00AM-2:00PM,9:00AM-2:00PM,CLOSED,
Vandy Blenz,Sunday,CLOSED,CLOSED,CLOSED,
Cafe Carmichael - Contains Peanuts & Treenuts,Monday,7:00AM-9:00PM,7:00AM-9:00PM,7:00AM-9:00PM,
